program_id	g_ERP	g_GSE	mean_g	min_g	both_positive	both_ge_corresponding_AF35
RANDOM_1785	0.0862120993756933	0.408561811684614	0.24738695553015363	0.0862120993756933	True	False
RANDOM_1786	0.388843560423048	0.349154061834909	0.3689988111289785	0.349154061834909	True	False
RANDOM_1787	-0.0325896167138544	0.0721887475440716	0.019799565415108602	-0.0325896167138544	False	False
RANDOM_1788	0.838911068265596	0.211278560072734	0.525094814169165	0.211278560072734	True	False
RANDOM_1789	0.45443485407133	0.065163024190645	0.2597989391309875	0.065163024190645	True	False
RANDOM_1790	0.194267127816811	-0.239918543002136	-0.022825707592662503	-0.239918543002136	False	False
RANDOM_1791	0.398037827999821	0.0977245118843648	0.24788116994209292	0.0977245118843648	True	False
RANDOM_1792	0.396217255109401	0.132625672890935	0.26442146400016797	0.132625672890935	True	False
RANDOM_1793	0.186137154353222	0.317488115171409	0.2518126347623155	0.186137154353222	True	False
RANDOM_1794	0.33627459772182	0.0920003241752589	0.21413746094853944	0.0920003241752589	True	False
RANDOM_1795	0.0779809752006644	-0.0002347065671012	0.0388731343167816	-0.0002347065671012	False	False
RANDOM_1796	0.480524250885203	0.0594735532403854	0.2699989020627942	0.0594735532403854	True	False
RANDOM_1797	0.586425439946737	0.370220784175159	0.478323112060948	0.370220784175159	True	False
RANDOM_1798	0.389093226563909	0.254195704456849	0.321644465510379	0.254195704456849	True	False
RANDOM_1799	-0.0495717608846052	-0.0145431638259751	-0.03205746235529015	-0.0495717608846052	False	False
RANDOM_1800	0.155846220661811	0.296971702958572	0.2264089618101915	0.155846220661811	True	False
RANDOM_1801	0.308117087897932	0.285414729437135	0.2967659086675335	0.285414729437135	True	False
RANDOM_1802	0.596059796092026	0.468096891316417	0.5320783437042215	0.468096891316417	True	False
RANDOM_1803	-0.0087617220633599	-0.154087891753402	-0.08142480690838096	-0.154087891753402	False	False
RANDOM_1804	-0.2480950690284	0.0863124551767209	-0.08089130692583955	-0.2480950690284	False	False
RANDOM_1805	0.227772419232979	0.266132536395012	0.24695247781399549	0.227772419232979	True	False
RANDOM_1806	-0.0245775130550168	-0.01439293877779	-0.0194852259164034	-0.0245775130550168	False	False
RANDOM_1807	0.322678698017806	0.169177024526231	0.24592786127201852	0.169177024526231	True	False
RANDOM_1808	0.395391722934318	0.134474856142716	0.264933289538517	0.134474856142716	True	False
RANDOM_1809	-0.0839717788351568	0.156569535267154	0.0362988782159986	-0.0839717788351568	False	False
RANDOM_1810	0.0005138788418303	-0.037977528670813	-0.01873182491449135	-0.037977528670813	False	False
RANDOM_1811	0.555718384280188	-0.0891376576972622	0.2332903632914629	-0.0891376576972622	False	False
RANDOM_1812	0.353191259602417	0.206141583387367	0.27966642149489196	0.206141583387367	True	False
RANDOM_1813	0.0453806673290476	0.0828642710795558	0.0641224692043017	0.0453806673290476	True	False
RANDOM_1814	0.246761234764534	0.300577459869354	0.27366934731694403	0.246761234764534	True	False
RANDOM_1815	0.142336968221425	0.0309200111453808	0.08662848968340289	0.0309200111453808	True	False
RANDOM_1816	0.484982097731445	0.272381528857557	0.378681813294501	0.272381528857557	True	False
RANDOM_1817	0.198348794695635	0.248603600229289	0.223476197462462	0.198348794695635	True	False
RANDOM_1818	0.25342128880196	0.0569211972202292	0.1551712430110946	0.0569211972202292	True	False
RANDOM_1819	0.1955265127095	0.0871900757194092	0.14135829421445462	0.0871900757194092	True	False
RANDOM_1820	0.281685695723963	0.345597465112157	0.31364158041806	0.281685695723963	True	False
RANDOM_1821	0.0741992438349605	0.317855422889765	0.19602733336236275	0.0741992438349605	True	False
RANDOM_1822	0.782424264496091	-0.0966507799260569	0.3428867422850171	-0.0966507799260569	False	False
RANDOM_1823	-0.0921477982414252	-0.0416610137071259	-0.06690440597427555	-0.0921477982414252	False	False
RANDOM_1824	0.0337269198918147	0.297104494298753	0.16541570709528386	0.0337269198918147	True	False
RANDOM_1825	0.185630299062487	-0.107838712611605	0.03889579322544099	-0.107838712611605	False	False
RANDOM_1826	0.673177221168095	0.0904373973915193	0.38180730927980716	0.0904373973915193	True	False
RANDOM_1827	0.454642846474008	0.115578645370199	0.2851107459221035	0.115578645370199	True	False
RANDOM_1828	0.324833459297752	0.030545059278518	0.177689259288135	0.030545059278518	True	False
RANDOM_1829	0.157067246411387	0.0900479083600412	0.1235575773857141	0.0900479083600412	True	False
RANDOM_1830	0.331482960732697	0.0453568662437656	0.1884199134882313	0.0453568662437656	True	False
RANDOM_1831	0.341446586707352	0.166859958777036	0.254153272742194	0.166859958777036	True	False
RANDOM_1832	-0.0174250930742837	0.445446459315049	0.21401068312038266	-0.0174250930742837	False	False
RANDOM_1833	0.130480881236027	0.298000608856102	0.2142407450460645	0.130480881236027	True	False
RANDOM_1834	0.0645083392447809	0.0557242678768505	0.0601163035608157	0.0557242678768505	True	False
RANDOM_1835	-0.0506245633380324	-0.145853175506928	-0.0982388694224802	-0.145853175506928	False	False
RANDOM_1836	0.0877825026767564	-0.0846186501919591	0.0015819262423986472	-0.0846186501919591	False	False
RANDOM_1837	0.357289176802026	-0.110751133943285	0.12326902142937049	-0.110751133943285	False	False
RANDOM_1838	0.0368735102528289	0.546671013984766	0.2917722621187975	0.0368735102528289	True	False
RANDOM_1839	0.393190056515715	0.0675267101808538	0.2303583833482844	0.0675267101808538	True	False
RANDOM_1840	0.157410941918501	0.249175100012639	0.20329302096557	0.157410941918501	True	False
