gene_i	gene_j	ERP117672	GSE302495
ZAP70	MX1	0.16722689075630254	0.2773826458036984
ZAP70	OAS1	0.2666666666666667	0.48769011926906664
ZAP70	CXCL9	0.6173669467787115	0.5610022978444031
ZAP70	CXCL10	0.5148459383753502	0.41109530583214793
ZAP70	IFNG	0.45250772300201475	0.5044367140789261
ZAP70	TNF	0.6654521605919875	0.5117627749206697
ZAP70	CCL5	0.7078431372549021	0.7964766385819017
ZAP70	NKG7	0.5812324929971989	0.6496334391071233
ZAP70	PRF1	0.6417366946778711	0.8702265018054491
ZAP70	GZMB	0.588515406162465	0.7682459787722946
ZAP70	PDCD1	0.5789915966386555	0.5154830944304628
ZAP70	LAG3	0.5487394957983194	0.7737170368749317
ZAP70	TIGIT	0.6182072829131653	0.5312397417660576
ZAP70	TOX	0.49159663865546227	0.3277163803479593
LAT	LCP2	0.6327731092436976	0.34264000175207504
LAT	TRAT1	0.4141746631068653	0.062035405898007094
LAT	NFKB1	0.36078431372549025	0.3132899172411899
LAT	REL	0.3072829131652662	0.4270214947208696
LAT	RELA	0.22016806722689075	-0.036798780201147574
LAT	NFKBIA	0.4484593837535014	0.0649259445240791
LAT	TNFAIP3	0.48627450980392156	0.36887719851180556
LAT	STAT1	0.5008403361344538	0.14964096118049738
