released_t_cell_state	TCR_activation	cytotoxicity	exhaustion
CD4_C01_CCR7	-0.252251658408	-0.647168521725	-0.111100569797
CD8_C08_GZMK	-0.337469937062	0.409142636575	-0.126980967375
CD4_C03_CD44	0.163766416225	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.298558975598	-0.647168521725	-0.352763613388
CD4_C08_FOXP3	-0.18076735794	-0.647168521725	0.0503952386666
CD4_C08_FOXP3	0.458092145677	-0.647168521725	0.180576047787
CD4_C03_CD44	0.164775882832	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.434430448389	-0.647168521725	-0.0630983607724
CD4_C01_CCR7	0.0768189001083	-0.647168521725	0.034555003301
CD4_C03_CD44	-0.687066245238	-0.325680566189	-0.352763613388
CD8_C03_CX3CR1	-0.0701802579465	0.723503352625	-0.352763613388
CD8_C03_CX3CR1	-0.522797385269	1.01200553582	-0.352763613388
CD4_C05_GNLY	-0.240706680199	0.393599200084	-0.352763613388
CD4_C01_CCR7	-0.353108073626	-0.647168521725	-0.202902334692
CD4_C01_CCR7	0.991514721585	-0.647168521725	-0.352763613388
CD8_C08_GZMK	-0.222443525045	-0.105097362544	-0.153488321078
CD4_C01_CCR7	-0.131112738751	-0.647168521725	-0.352763613388
CD4_C08_FOXP3	-0.40306466865	-0.551005462575	0.0806412619461
CD4_C01_CCR7	-0.433498225042	-0.647168521725	-0.0443182981668
CD4_C03_CD44	-0.041117841958	-0.565575703919	-0.352763613388
CD8_C08_GZMK	-0.248695782979	0.319517873388	0.0182338220147
CD4_C02_IL7R	-0.417659955685	-0.647168521725	-0.18585952673
CD8_C03_CX3CR1	0.0642686372735	1.54890147899	0.0671573314321
CD4_C04_GZMK	0.339742701054	-0.647168521725	-0.115631041812
CD4_C01_CCR7	-0.148718458632	-0.647168521725	-0.352763613388
CD4_C01_CCR7	0.717227031714	-0.647168521725	-0.352763613388
CD4_C03_CD44	-0.111693432911	-0.647168521725	-0.352763613388
CD4_C03_CD44	-0.393224044615	-0.647168521725	-0.352763613388
CD8_C01_LEF1	-0.658184066885	-0.647168521725	-0.352763613388
CD8_C03_CX3CR1	-0.160563294562	1.08170990516	-0.13210109604
CD4_C01_CCR7	-0.428292262074	-0.647168521725	-0.352763613388
CD4_C06_CXCL13	0.352585923724	-0.596475152338	0.32222737488
CD4_C01_CCR7	0.0863419933349	-0.557950092038	-0.173377470788
CD4_C01_CCR7	0.414424198316	-0.647168521725	0.112602757522
CD8_C04_GIMAP4	0.40586669111	0.808055949402	-0.154057101895
CD8_C03_CX3CR1	0.449665882533	0.714393042839	0.456688310734
