source	plot_unit	state	lineage	cell_n	cell_fraction	mean_Xz	mean_Yz	signed_contribution	absolute_contribution	full_patient_eligible
GSE235863	U005	CD4_C09_MKI67	CD4	22	0.0150788211103496	-0.237022629484529	-0.214742016902172	0.000767492656033727	0.000767492656033727	True
GSE235863	U005	CD8_C01_LEF1	CD8	2	0.00137080191912269	-0.0949313525400183	-1.21401688145938	0.000157982542239004	0.000157982542239004	True
GSE235863	U005	CD8_C02_GPR183	CD8	2	0.00137080191912269	0.0529469301101008	-0.804385016646507	-5.83820661521519e-05	5.83820661521519e-05	True
GSE235863	U005	CD8_C03_CX3CR1	CD8	5	0.00342700479780672	-0.126705945365945	0.716026322122972	-0.000310914297640479	0.000310914297640479	True
GSE235863	U005	CD8_C04_GIMAP4	CD8	0	0	NA	NA	0	0	True
GSE235863	U005	CD8_C05_CCR7	CD8	4	0.00274160383824537	-0.645443656650601	-0.544291742004802	0.000963151891005634	0.000963151891005634	True
GSE235863	U005	CD8_C06_IKZF2	CD8	0	0	NA	NA	0	0	True
GSE235863	U005	CD8_C07_KIR2DL4	CD8	27	0.0185058259081563	0.535890975832318	-0.217333852034225	-0.00215532265339031	0.00215532265339031	True
GSE235863	U005	CD8_C08_GZMK	CD8	165	0.113091158327622	-0.157997548338824	-0.224011696754914	0.00400266916810961	0.00400266916810961	True
GSE235863	U005	CD8_C09_LAYN	CD8	568	0.389307745030843	0.369671205426206	0.63958656934557	0.0920466533382953	0.0920466533382953	True
GSE235863	U005	CD8_C10_SLC4A10	CD8	2	0.00137080191912269	-1.19437559933189	-0.0845758693200643	0.000138472041957735	0.000138472041957735	True
GSE235863	U005	CD8_C11_MKI67	CD8	54	0.0370116518163125	0.117616210427576	0.980680558371741	0.00426906941017607	0.00426906941017607	True
