major_cluster	sub_cluster	state_order	af35_primary	UMAP_1	UMAP_2
CD4	CD4_C03_CD44	3	-0.27303760145548	2.089605	1.4507885
CD4	CD4_C07_CTLA4	7	-0.172786257928421	-4.301319	5.2433324
CD4	CD4_C07_CTLA4	7	0.218474804600029	-5.7447743	5.430044
CD4	CD4_C07_CTLA4	7	0.214794747844669	-5.063077	6.5194173
CD4	CD4_C04_GZMK	4	0.0215263878089799	0.24191134	4.7843256
CD8	CD8_C10_SLC4A10	19	0.257380312521224	1.9998685	9.669607
CD4	CD4_C07_CTLA4	7	-0.0678610064810481	-5.565862	5.875628
CD4	CD4_C07_CTLA4	7	0.418230765452492	-5.3046474	5.6405764
CD4	CD4_C07_CTLA4	7	0.0623267545071357	-5.954134	5.4076533
CD4	CD4_C07_CTLA4	7	0.0219247892761075	-3.4603844	4.0915766
CD8	CD8_C10_SLC4A10	19	0.0395050824196787	2.5551264	9.440671
CD4	CD4_C04_GZMK	4	0.0473015813824622	-0.0013894051	5.011621
CD4	CD4_C04_GZMK	4	-0.0332182172213937	3.2922227	3.5222745
CD4	CD4_C07_CTLA4	7	-0.116859734152816	-4.035844	4.77631
CD4	CD4_C07_CTLA4	7	-0.30593442308372	-4.167403	5.2657824
CD4	CD4_C04_GZMK	4	-0.107194012366349	0.29369202	3.4151108
CD4	CD4_C07_CTLA4	7	-0.0655965182070152	-4.601888	5.545886
CD4	CD4_C07_CTLA4	7	0.347171543036422	-5.0963063	6.355349
CD8	CD8_C08_GZMK	17	0.299423410938158	5.6267047	7.003158
CD4	CD4_C03_CD44	3	0.156894999714056	2.7669368	2.7257366
CD4	CD4_C07_CTLA4	7	0.222936307093439	-5.7765455	6.7906666
CD4	CD4_C07_CTLA4	7	0.136581881325812	-6.0681176	6.882657
CD4	CD4_C06_CXCL13	6	-0.0720264344263554	-0.55564415	5.250442
CD4	CD4_C07_CTLA4	7	0.39341337416748	-5.2644067	7.3604345
CD8	CD8_C09_LAYN	18	0.644204300248298	10.284051	6.9257135
CD8	CD8_C08_GZMK	17	-0.0994335771905669	7.069318	7.5288215
CD4	CD4_C07_CTLA4	7	-0.110626302594084	-4.8817225	5.8305073
CD4	CD4_C07_CTLA4	7	0.081341184783802	-5.586498	6.0626516
CD4	CD4_C03_CD44	3	-0.219068413241007	2.2150762	1.7131667
CD4	CD4_C03_CD44	3	0.205670840782063	0.45764726	2.190354
CD4	CD4_C07_CTLA4	7	0.182102182654139	-5.1129317	6.54179
CD4	CD4_C07_CTLA4	7	0.389900411646282	-4.442018	5.3707585
CD4	CD4_C03_CD44	3	-0.127031454048663	2.394997	3.4790115
CD4	CD4_C07_CTLA4	7	0.124690923766956	-4.2978306	4.305286
CD8	CD8_C08_GZMK	17	0.0953302444185101	7.1616898	5.778107
CD4	CD4_C07_CTLA4	7	0.126602204592059	-4.358122	5.1233096
CD4	CD4_C03_CD44	3	-0.208584724391739	2.1763053	2.0965283
CD4	CD4_C07_CTLA4	7	-0.140428681712801	-4.5198064	5.232579
CD4	CD4_C07_CTLA4	7	-0.171228769283661	-3.5826972	4.117557
CD4	CD4_C07_CTLA4	7	-0.127893472841412	-4.613946	5.1985545
CD4	CD4_C07_CTLA4	7	0.0439533198936084	-5.5807657	6.1154737
CD8	CD8_C07_KIR2DL4	16	0.260016691552926	9.513894	5.0163264
CD4	CD4_C03_CD44	3	0.0318171435368965	3.2258837	0.8061965
CD4	CD4_C07_CTLA4	7	0.126631900620041	-5.996809	6.415021
